datetime,Caudal (l/s),Totalizador (m3),Nivel Freático (m),Obra habilitada?
2019-10-29 09:00:00,0.0,1884522.0,23.59,Sí
2019-11-23 08:00:00,0.0,1945304.0,25.04,Sí
2019-12-23 07:00:00,0.0,2024562.0,26.95,Sí
2020-01-16 08:00:00,33.06,2085934.0,36.45,Sí
2020-02-13 07:00:00,28.36,2150821.0,0.0,Sí
2020-03-14 07:00:00,25.0,2202567.0,,Sí
2020-04-28 08:00:00,25.33,2280727.0,,Sí
2020-05-18 01:00:00,25.26,,37.1,Sí
2020-05-18 02:00:00,24.82,,38.39,Sí
2020-05-18 03:00:00,0.0,,31.16,Sí
2020-05-18 04:00:00,0.0,,31.04,Sí
2020-05-18 05:00:00,0.0,,30.96,Sí
2020-05-18 06:00:00,0.0,,30.89,Sí
2020-05-18 07:00:00,0.0,,30.83,Sí
2020-05-18 08:00:00,0.0,,30.77,Sí
2020-05-18 09:00:00,0.0,,30.72,Sí
2020-05-18 10:00:00,0.0,,30.68,Sí
2020-05-18 11:00:00,0.0,2319086.0,30.64,Sí
2020-05-18 12:00:00,0.0,2319086.0,30.61,Sí
2020-05-18 13:00:00,0.0,2319086.0,30.6,Sí
2020-05-18 14:00:00,0.0,2319086.0,30.58,Sí
2020-05-18 15:00:00,25.01,2319171.0,37.4,Sí
2020-05-18 16:00:00,24.85,2319260.0,37.52,Sí
2020-05-18 17:00:00,24.89,2319350.0,37.57,Sí
2020-05-18 18:00:00,24.77,2319439.0,37.64,Sí
2020-05-18 19:00:00,24.72,2319528.0,37.69,Sí
2020-05-18 20:00:00,24.82,2319617.0,37.74,Sí
2020-05-18 21:00:00,24.88,2319706.0,37.77,Sí
2020-05-18 22:00:00,24.65,2319794.0,37.81,Sí
2020-05-18 23:00:00,24.8,2319883.0,37.84,Sí
2020-05-19 00:00:00,24.63,,37.86,Sí
2020-05-19 01:00:00,24.55,2320061.0,37.89,Sí
2020-05-19 02:00:00,24.81,2320150.0,37.92,Sí
2020-05-19 03:00:00,24.65,2320238.0,37.93,Sí
2020-05-19 04:00:00,24.65,2320326.0,37.95,Sí
2020-05-19 05:00:00,24.59,,37.97,Sí
2020-05-19 06:00:00,24.6,2320504.0,37.98,Sí
2020-05-19 07:00:00,24.35,2320592.0,38.0,Sí
2020-05-19 08:00:00,24.62,2320680.0,38.01,Sí
2020-05-19 09:00:00,24.39,2320768.0,38.02,Sí
2020-05-19 10:00:00,24.62,,38.04,Sí
2020-05-19 11:00:00,24.65,2320945.0,38.05,Sí
2020-05-19 12:00:00,24.39,,38.07,Sí
2020-05-19 13:00:00,24.41,2321120.0,38.08,Sí
2020-05-19 14:00:00,24.41,2321208.0,38.1,Sí
2020-05-19 15:00:00,24.48,2321296.0,38.11,Sí
2020-05-19 16:00:00,24.41,2321384.0,38.13,Sí
2020-05-19 17:00:00,24.47,2321472.0,38.14,Sí
2020-05-19 18:00:00,24.4,2321560.0,38.15,Sí
2020-05-19 19:00:00,24.23,2321648.0,38.16,Sí
2020-05-19 20:00:00,24.58,2321736.0,38.17,Sí
2020-05-19 21:00:00,24.39,2321824.0,38.17,Sí
2020-05-19 22:00:00,24.36,,38.18,Sí
2020-05-19 23:00:00,24.34,2322000.0,38.19,Sí
2020-05-20 00:00:00,24.32,2322088.0,38.2,Sí
2020-05-20 01:00:00,24.33,2322176.0,38.2,Sí
2020-05-20 02:00:00,24.43,2322264.0,38.21,Sí
2020-05-20 03:00:00,24.34,,38.22,Sí
2020-05-20 04:00:00,24.34,2322440.0,38.23,Sí
2020-05-20 05:00:00,24.28,2322528.0,38.23,Sí
2020-05-20 06:00:00,24.41,2322616.0,38.24,Sí
2020-05-20 07:00:00,24.34,2322704.0,38.25,Sí
2020-05-20 08:00:00,24.34,2322791.0,38.26,Sí
2020-05-20 09:00:00,0.0,2322846.0,31.29,Sí
2020-05-20 10:00:00,25.01,2322920.0,38.36,Sí
2020-05-20 11:00:00,24.78,,38.36,Sí
2020-05-20 12:00:00,24.96,2323099.0,38.38,Sí
2020-05-20 13:00:00,24.76,2323185.0,38.43,Sí
2020-05-20 14:00:00,24.52,2323274.0,38.41,Sí
2020-05-20 15:00:00,24.69,2323364.0,38.41,Sí
2020-05-20 16:00:00,24.6,,38.43,Sí
2020-05-20 17:00:00,24.51,2323540.0,38.4,Sí
2020-05-20 18:00:00,24.59,2323624.0,38.31,Sí
2020-05-20 19:00:00,24.47,,38.38,Sí
2020-05-20 20:00:00,24.62,2323801.0,38.37,Sí
2020-05-20 21:00:00,24.51,2323889.0,38.38,Sí
2020-05-20 22:00:00,24.59,2323978.0,38.37,Sí
2020-05-20 23:00:00,24.52,,38.38,Sí
2020-05-21 00:00:00,24.61,,38.39,Sí
2020-05-21 01:00:00,24.56,2324243.0,38.39,Sí
2020-05-21 02:00:00,24.44,2324331.0,38.4,Sí
2020-05-21 03:00:00,24.69,2324419.0,38.41,Sí
2020-05-21 04:00:00,24.61,2324508.0,38.42,Sí
2020-05-21 05:00:00,24.58,2324596.0,38.42,Sí
2020-05-21 06:00:00,24.58,2324684.0,38.43,Sí
2020-05-21 07:00:00,24.58,2324772.0,38.43,Sí
2020-05-21 08:00:00,24.57,2324861.0,38.43,Sí
2020-05-21 09:00:00,24.53,2324948.0,38.43,Sí
2020-05-21 10:00:00,24.2,2325036.0,38.43,Sí
2020-05-21 11:00:00,0.0,,31.23,Sí
2020-05-21 19:00:00,24.85,2325069.0,37.44,Sí
2020-05-21 20:00:00,25.25,2325159.0,37.72,Sí
2020-05-21 21:00:00,24.73,2325249.0,37.84,Sí
2020-05-21 22:00:00,25.03,2325338.0,37.88,Sí
2020-05-21 23:00:00,25.05,2325428.0,37.95,Sí
2020-05-22 00:00:00,25.05,2325518.0,38.02,Sí
2020-05-22 01:00:00,24.79,2325608.0,38.06,Sí
2020-05-22 02:00:00,24.82,,38.03,Sí
2020-05-22 03:00:00,24.81,2325786.0,38.07,Sí
2020-05-22 04:00:00,24.75,2325875.0,38.09,Sí
2020-05-22 05:00:00,24.69,2325964.0,38.11,Sí
2020-05-22 06:00:00,24.66,2326052.0,38.14,Sí
2020-05-22 07:00:00,24.67,2326142.0,38.16,Sí
2020-05-22 08:00:00,24.61,,38.18,Sí
2020-05-22 09:00:00,24.76,2326319.0,38.2,Sí
2020-05-22 10:00:00,24.62,2326408.0,38.22,Sí
2020-05-22 11:00:00,24.48,2326496.0,38.24,Sí
2020-05-22 12:00:00,24.75,2326584.0,38.25,Sí
2020-05-22 13:00:00,24.21,2326672.0,38.17,Sí
2020-05-22 14:00:00,24.42,,38.18,Sí
2020-05-22 15:00:00,24.34,,38.19,Sí
2020-05-22 16:00:00,24.15,2326936.0,38.2,Sí
2020-05-22 17:00:00,24.56,2327024.0,38.21,Sí
2020-05-22 18:00:00,24.34,2327111.0,38.23,Sí
2020-05-22 19:00:00,24.37,2327198.0,38.24,Sí
2020-05-22 20:00:00,24.44,,38.25,Sí
2020-05-22 21:00:00,24.38,2327373.0,38.25,Sí
2020-05-22 22:00:00,24.36,2327461.0,38.27,Sí
2020-05-22 23:00:00,24.26,2327548.0,38.27,Sí
2020-05-23 00:00:00,24.21,2327636.0,38.28,Sí
2020-05-23 01:00:00,24.37,2327724.0,38.29,Sí
2020-05-23 02:00:00,24.21,2327812.0,38.3,Sí
2020-05-23 03:00:00,24.17,,38.3,Sí
2020-05-23 04:00:00,24.24,2327986.0,38.31,Sí
2020-05-23 05:00:00,24.22,2328074.0,38.32,Sí
2020-05-23 06:00:00,24.34,2328161.0,38.32,Sí
2020-05-23 07:00:00,24.3,2328249.0,38.34,Sí
2020-05-23 08:00:00,24.33,2328336.0,38.34,Sí
2020-05-23 09:00:00,24.23,2328424.0,38.35,Sí
2020-05-23 10:00:00,24.39,2328511.0,38.35,Sí
2020-05-23 11:00:00,24.36,2328598.0,38.36,Sí
2020-05-23 12:00:00,24.32,2328686.0,38.36,Sí
2020-05-23 13:00:00,24.33,,38.37,Sí
2020-05-23 14:00:00,24.47,,38.37,Sí
2020-05-23 15:00:00,24.05,,38.37,Sí
2020-05-23 16:00:00,24.21,2329034.0,38.38,Sí
2020-05-23 17:00:00,24.27,2329122.0,38.39,Sí
2020-05-23 18:00:00,24.22,2329209.0,38.39,Sí
2020-05-23 19:00:00,24.29,2329296.0,38.4,Sí
2020-05-23 20:00:00,24.22,,38.4,Sí
2020-05-23 21:00:00,24.26,2329470.0,38.4,Sí
2020-05-23 22:00:00,24.18,2329558.0,38.41,Sí
2020-05-23 23:00:00,24.23,2329645.0,38.41,Sí
2020-05-24 00:00:00,24.29,2329732.0,38.41,Sí
2020-05-24 01:00:00,24.23,2329820.0,38.41,Sí
2020-05-24 02:00:00,24.19,,38.42,Sí
2020-05-24 03:00:00,24.13,2329994.0,38.42,Sí
2020-05-24 04:00:00,24.21,2330081.0,38.42,Sí
2020-05-24 05:00:00,24.15,2330169.0,38.43,Sí
2020-05-24 06:00:00,24.22,2330256.0,38.43,Sí
2020-05-24 07:00:00,24.26,2330343.0,38.43,Sí
2020-05-24 08:00:00,24.19,,38.44,Sí
2020-05-24 09:00:00,24.18,2330517.0,38.44,Sí
2020-05-24 10:00:00,24.23,2330605.0,38.45,Sí
2020-05-24 11:00:00,24.53,2330692.0,38.45,Sí
