datetime,Caudal (l/s),Totalizador (m3),Nivel Freático (m),Obra habilitada?
2020-11-26 14:00:00,0.0,164,10.78,Sí
2020-11-26 15:00:00,0.0,164,10.8,Sí
2020-11-26 16:00:00,0.0,164,10.85,Sí
2020-11-26 17:00:00,0.0,164,10.87,Sí
2020-11-26 18:00:00,0.0,164,10.93,Sí
2020-11-26 19:00:00,0.0,164,10.99,Sí
2020-11-26 20:00:00,0.0,164,11.06,Sí
2020-11-26 21:00:00,0.0,164,11.1,Sí
2020-11-26 22:00:00,0.0,164,11.12,Sí
2020-11-26 23:00:00,0.0,164,11.14,Sí
2020-11-27 00:00:00,0.0,164,11.14,Sí
2020-11-27 01:00:00,0.0,164,11.16,Sí
2020-11-27 02:00:00,0.0,164,11.22,Sí
2020-11-27 03:00:00,0.0,164,11.22,Sí
2020-11-27 04:00:00,0.0,164,11.22,Sí
2020-11-27 05:00:00,0.0,164,11.24,Sí
2020-11-27 06:00:00,0.0,164,11.2,Sí
2020-11-27 07:00:00,0.0,164,11.07,Sí
2020-11-27 08:00:00,0.0,164,10.99,Sí
2020-11-27 09:00:00,0.0,164,10.91,Sí
2020-11-27 10:00:00,0.0,164,10.85,Sí
2020-11-27 11:00:00,0.0,164,10.82,Sí
2020-11-27 12:00:00,0.0,164,10.8,Sí
2020-11-27 13:00:00,0.0,164,10.76,Sí
2020-11-27 14:00:00,0.0,164,10.76,Sí
2020-11-27 15:00:00,0.0,164,10.76,Sí
2020-11-27 16:00:00,0.0,164,10.8,Sí
2020-11-27 17:00:00,0.0,164,10.83,Sí
2020-11-27 18:00:00,0.0,164,10.89,Sí
2020-11-27 19:00:00,0.0,164,11.01,Sí
2020-11-27 20:00:00,0.0,164,11.08,Sí
2020-11-27 21:00:00,0.0,164,11.1,Sí
2020-11-27 22:00:00,0.0,164,11.12,Sí
2020-11-27 23:00:00,0.0,164,11.16,Sí
2020-11-28 00:00:00,0.0,164,11.18,Sí
2020-11-28 01:00:00,0.0,164,11.2,Sí
2020-11-28 02:00:00,0.0,164,11.22,Sí
2020-11-28 03:00:00,0.0,164,11.22,Sí
2020-11-28 04:00:00,0.0,164,11.18,Sí
2020-11-28 05:00:00,0.0,164,11.18,Sí
2020-11-28 06:00:00,0.0,164,11.18,Sí
2020-11-28 07:00:00,0.0,164,11.08,Sí
2020-11-28 08:00:00,0.0,164,11.03,Sí
2020-11-28 09:00:00,0.0,164,10.99,Sí
2020-11-28 10:00:00,0.0,164,10.95,Sí
2020-11-28 11:00:00,0.0,164,10.89,Sí
2020-11-28 12:00:00,0.0,164,10.85,Sí
2020-11-28 13:00:00,0.0,164,10.78,Sí
2020-11-28 14:00:00,0.0,164,10.78,Sí
2020-11-28 15:00:00,0.0,164,10.82,Sí
2020-11-28 16:00:00,0.0,164,10.85,Sí
2020-11-28 17:00:00,0.0,164,10.91,Sí
2020-11-28 18:00:00,0.0,164,10.93,Sí
2020-11-28 19:00:00,0.0,164,11.03,Sí
2020-11-28 20:00:00,0.0,164,11.12,Sí
2020-11-28 21:00:00,0.0,164,11.12,Sí
2020-11-28 22:00:00,0.0,164,11.14,Sí
2020-11-28 23:00:00,0.0,164,11.14,Sí
2020-11-29 00:00:00,0.0,164,11.12,Sí
2020-11-29 01:00:00,0.0,164,11.12,Sí
2020-11-29 02:00:00,0.0,164,11.12,Sí
2020-11-29 03:00:00,0.0,164,11.14,Sí
2020-11-29 04:00:00,0.0,164,11.16,Sí
2020-11-29 05:00:00,0.0,164,11.14,Sí
2020-11-29 06:00:00,0.0,164,11.14,Sí
