,SampleSiteCode,SampleID,Soil Wet Weight (g),Soil Dry Weight (g),Lab #,SiteID,"Whole sample wt, g",">2mm portion wt, g",SAND,SILT,CLAY,IGSN,Top sample depth_cm,Bottom sample depth_cm,Collection date,BD_tot g/cm3,"<2mm portion wt, g",BD_2mm g/cm3,BD_wet g/cm3,water content %vol,mineral density g/cm3,sand density g/cm3,silt density g/cm3,clay density g/cm3
431,011-ER18,011-ER18-SBD50,,133.46,,11.0,133.46,3.88,,,,IER180130,50.0,55.0,7/6/18,1.47,129.59,1.43,,,,,,
432,012-ER18,012-ER18-SBD50,,116.42,,12.0,116.42,7.88,,,,IER180132,50.0,55.0,7/6/18,1.29,108.55,1.2,,,,,,
433,013-ER18,013-ER18-SBD50,,130.07,,13.0,130.07,19.08,,,,IER180134,50.0,55.0,7/6/18,1.44,111.0,1.23,,,,,,
434,014-ER18,014-ER18-SBD50,,135.14,,14.0,135.14,21.28,,,,IER180136,50.0,55.0,7/6/18,1.49,113.87,1.26,,,,,,
435,016-ER18,016-ER18-SBD50,,130.69,,16.0,130.69,14.88,,,,IER180139,50.0,55.0,7/6/18,1.44,115.82,1.28,,,,,,
436,018-ER18,018-ER18-SBD50,,135.35,,18.0,135.35,17.68,,,,IER18013C,50.0,55.0,7/6/18,1.49,117.68,1.3,,,,,,
437,022-ER18,022-ER18-SBD50,,119.56,,22.0,119.56,32.08,,,,IER18013G,50.0,55.0,7/11/18,1.32,87.49,0.97,,,,,,
438,024-ER18,024-ER18-SBD50,,96.47,,24.0,96.47,0.0,,,,IER18013J,50.0,55.0,7/11/18,1.06,96.47,1.06,,,,,,
439,027-ER18,027-ER18-SBD50,,107.82,,27.0,107.82,14.28,,,,IER18013M,50.0,55.0,7/11/18,1.19,93.55,1.03,,,,,,
440,033-ER18,033-ER18-SBD50,,119.24,,33.0,119.24,14.08,,,,IER18013T,50.0,55.0,7/6/18,1.32,105.17,1.16,,,,,,
441,034-ER18,034-ER18-SBD50,,139.78,,34.0,139.78,25.48,,,,IER18013V,50.0,55.0,7/6/18,1.54,114.31,1.26,,,,,,
442,035-ER18,035-ER18-SBD50,,118.04,,35.0,118.04,14.08,,,,IER18013X,50.0,55.0,7/6/18,1.3,103.97,1.15,,,,,,
443,036-ER18,036-ER18-SBD50,,123.15,,36.0,123.15,11.08,,,,IER18013Z,50.0,55.0,9/24/18,1.36,112.08,1.24,,,,,,
444,037-ER18,037-ER18-SBD50,,120.51,,37.0,120.51,24.68,,,,IER180141,50.0,55.0,7/6/18,1.33,95.84,1.06,,,,,,
445,038-ER18,038-ER18-SBD50,,124.63,,38.0,124.63,20.08,,,,IER180143,50.0,55.0,7/6/18,1.38,104.56,1.15,,,,,,
446,039-ER18,039-ER18-SBD50,,107.76,,39.0,107.76,8.28,,,,IER180145,50.0,55.0,7/6/18,1.19,99.49,1.1,,,,,,
447,040-ER18,040-ER18-SBD50,,111.68,,40.0,111.68,18.28,,,,IER180147,50.0,55.0,7/6/18,1.23,93.41,1.03,,,,,,
448,044-ER18,044-ER18-SBD50,,107.53,,44.0,107.53,3.68,,,,IER18014C,50.0,55.0,7/6/18,1.19,103.86,1.15,,,,,,
449,045-ER18,045-ER18-SBD50,,109.49,,45.0,109.49,3.08,,,,IER18014E,50.0,55.0,9/24/18,1.21,106.42,1.17,,,,,,
450,046-ER18,046-ER18-SBD50,,112.82,,46.0,112.82,3.68,,,,IER18014G,50.0,55.0,9/24/18,1.25,109.15,1.2,,,,,,
451,047-ER18,047-ER18-SBD50,,100.02,,47.0,100.02,7.48,,,,IER18014I,50.0,55.0,7/6/18,1.1,92.55,1.02,,,,,,
452,051-ER18,051-ER18-SBD50,,116.74,,51.0,116.74,9.48,,,,IER18014N,50.0,55.0,9/24/18,1.29,107.27,1.18,,,,,,
453,053-ER18,053-ER18-SBD50,,110.3,,53.0,110.3,4.48,,,,IER18014Q,50.0,55.0,9/24/18,1.22,105.83,1.17,,,,,,
454,054-ER18,054-ER18-SBD50,,118.15,,54.0,118.15,7.48,,,,IER18014S,50.0,55.0,7/6/18,1.3,110.68,1.22,,,,,,
455,055-ER18,055-ER18-SBD50,,110.29,,55.0,110.29,0.0,,,,IER18014U,50.0,55.0,7/6/18,1.22,110.29,1.22,,,,,,
456,057-ER18,057-ER18-SBD50,,115.93,,57.0,115.93,15.08,,,,IER18014X,50.0,55.0,7/6/18,1.28,100.86,1.11,,,,,,
457,058-ER18,058-ER18-SBD50,,141.69,,58.0,141.69,33.28,,,,IER18014Z,50.0,55.0,7/6/18,1.56,108.42,1.2,,,,,,
458,059-ER18,059-ER18-SBD50,,114.02,,59.0,114.02,0.0,,,,IER180151,50.0,55.0,7/6/18,1.26,114.02,1.26,,,,,,
459,061-ER18,061-ER18-SBD50,,128.94,,61.0,128.94,20.28,,,,IER180154,50.0,55.0,7/6/18,1.42,108.67,1.2,,,,,,
460,063-ER18,063-ER18-SBD50,,136.66,,63.0,136.66,51.88,,,,IER180157,50.0,55.0,9/24/18,1.51,84.79,0.94,,,,,,
461,065-ER18,065-ER18-SBD50,,127.92,,65.0,127.92,18.28,,,,IER18015A,50.0,55.0,7/18/18,1.41,109.65,1.21,,,,,,
462,067-ER18,067-ER18-SBD50a,,108.53,,67.0,108.53,19.68,,,,IER18015D,50.0,55.0,7/18/18,1.2,88.86,0.98,,,,,,
463,067-ER18,067-ER18-SBD50b,,138.19,,67.0,138.19,36.88,,,,IER18015E,50.0,55.0,7/18/18,1.53,101.32,1.12,,,,,,
464,072-ER18,072-ER18-SBD50,,130.04,,72.0,130.04,40.28,,,,IER18015K,50.0,55.0,7/26/18,1.44,89.77,0.99,,,,,,
465,076-ER18,076-ER18-SBD50,,117.57,,76.0,117.57,34.28,,,,IER18015P,50.0,55.0,7/26/18,1.3,83.3,0.92,,,,,,
466,077-ER18,077-ER18-SBD50,,126.36,,77.0,126.36,14.48,,,,IER18015R,50.0,55.0,7/26/18,1.39,111.89,1.24,,,,,,
467,079-ER18,079-ER18-SBD50,,118.32,,79.0,118.32,23.48,,,,IER18015U,50.0,55.0,7/26/18,1.31,94.85,1.05,,,,,,
468,080-ER18,080-ER18-SBD50,,109.66,,80.0,109.66,21.48,,,,IER18015W,50.0,55.0,7/26/18,1.21,88.19,0.97,,,,,,
469,081-ER18,081-ER18-SBD50,,172.21,,81.0,172.21,20.68,,,,IER18015Y,50.0,55.0,7/26/18,1.9,151.54,1.67,,,,,,
470,085-ER18,085-ER18-SBD50,,103.06,,85.0,103.06,25.88,,,,IER180163,50.0,55.0,7/26/18,1.14,77.19,0.85,,,,,,
471,087-ER18,087-ER18-SBD50,,128.28,,87.0,128.28,60.08,,,,IER180166,50.0,55.0,7/26/18,1.42,68.21,0.75,,,,,,
472,088-ER18,088-ER18-SBD50,,141.4,,88.0,141.4,0.0,,,,IER180168,50.0,55.0,7/26/18,1.56,141.4,1.56,,,,,,
473,090-ER18,090-ER18-SBD50,,139.73,,90.0,139.73,29.48,,,,IER18016B,50.0,55.0,7/26/18,1.54,110.26,1.22,,,,,,
474,091-ER18,091-ER18-SBD50,,123.76,,91.0,123.76,20.48,,,,IER18016D,50.0,55.0,7/26/18,1.37,103.29,1.14,,,,,,
475,093-ER18,093-ER18-SBD50,,129.9,,93.0,129.9,16.88,,,,IER18016G,50.0,55.0,7/26/18,1.43,113.03,1.25,,,,,,
476,096-ER18,096-ER18-SBD50,,137.83,,96.0,137.83,69.48,,,,IER18016K,50.0,55.0,7/18/18,1.52,68.36,0.75,,,,,,
477,097-ER18,097-ER18-SBD50,,121.64,,97.0,121.64,29.88,,,,IER18016M,50.0,55.0,7/18/18,1.34,91.77,1.01,,,,,,
478,098-ER18,098-ER18-SBD50,,127.31,,98.0,127.31,24.88,,,,IER18016O,50.0,55.0,7/11/18,1.41,102.44,1.13,,,,,,
479,102-ER18,102-ER18-SBD50,,140.93,,102.0,140.93,32.28,,,,IER18016T,50.0,55.0,7/26/18,1.56,108.66,1.2,,,,,,
480,103-ER18,103-ER18-SBD50,,140.39,,103.0,140.39,26.48,,,,IER18016V,50.0,55.0,7/26/18,1.55,113.92,1.26,,,,,,
481,104-ER18,104-ER18-SBD50,,93.94,,104.0,93.94,47.08,,,,IER18016X,50.0,55.0,7/19/18,1.04,46.87,0.52,,,,,,
482,106-ER18,106-ER18-SBD50,,127.71,,106.0,127.71,3.68,,,,IER180170,50.0,55.0,9/23/18,1.41,124.04,1.37,,,,,,
483,107-ER18,107-ER18-SBD50,,120.27,,107.0,120.27,2.48,,,,IER180172,50.0,55.0,7/19/18,1.33,117.8,1.3,,,,,,
484,108-ER18,108-ER18-SBD50,,118.37,,108.0,118.37,1.88,,,,IER180174,50.0,55.0,7/19/18,1.31,116.5,1.29,,,,,,
485,112-ER18,112-ER18-SBD50,,99.55,,112.0,99.55,3.28,,,,IER180179,50.0,55.0,7/19/18,1.1,96.28,1.06,,,,,,
486,113-ER18,113-ER18-SBD50,,93.95,,113.0,93.95,1.08,,,,IER18017B,50.0,55.0,7/19/18,1.04,92.88,1.03,,,,,,
487,114-ER18,114-ER18-SBD50,,131.05,,114.0,131.05,20.68,,,,IER18017D,50.0,55.0,7/9/18,1.45,110.38,1.22,,,,,,
488,120-ER18,120-ER18-SBD50,,123.81,,120.0,123.81,11.68,,,,IER18017K,50.0,55.0,9/25/18,1.37,112.14,1.24,,,,,,
489,130-ER18,130-ER18-SBD50,,143.99,,130.0,143.99,0.0,,,,IER18017R,50.0,55.0,9/24/18,1.59,143.99,1.59,,,,,,
490,133-ER18,133-ER18-SBD50,,114.34,,133.0,114.34,0.0,,,,IER18017V,50.0,55.0,9/24/18,1.26,114.34,1.26,,,,,,
491,134-ER18,134-ER18-SBD50,,118.36,,134.0,118.36,0.88,,,,IER18017X,50.0,55.0,9/24/18,1.31,117.49,1.3,,,,,,
492,135-ER18,135-ER18-SBD50,,125.58,,135.0,125.58,0.0,,,,IER18017Z,50.0,55.0,9/24/18,1.39,125.58,1.39,,,,,,
493,140-ER18,140-ER18-SBD50,,61.3,,140.0,61.3,0.0,,,,IER180185,50.0,55.0,9/24/18,0.68,61.3,0.68,,,,,,
494,141-ER18,141-ER18-SBD50,,104.97,,141.0,104.97,0.0,,,,IER180187,50.0,55.0,9/24/18,1.16,104.97,1.16,,,,,,
495,143-ER18,143-ER18-SBD50,,137.48,,143.0,137.48,0.0,,,,IER18018A,50.0,55.0,9/24/18,1.52,137.48,1.52,,,,,,
496,145-ER18,145-ER18-SBD50,,125.29,,145.0,125.29,8.88,,,,IER18018D,50.0,55.0,7/9/18,1.38,116.42,1.29,,,,,,
497,146-ER18,146-ER18-SBD50,,126.35,,146.0,126.35,13.88,,,,IER18018F,50.0,55.0,7/9/18,1.39,112.48,1.24,,,,,,
498,147-ER18,147-ER18-SBD50,,109.55,,147.0,109.55,13.68,,,,IER18018H,50.0,55.0,7/9/18,1.21,95.88,1.06,,,,,,
499,151-ER18,151-ER18-SBD50,,117.74,,151.0,117.74,7.28,,,,IER18018M,50.0,55.0,7/9/18,1.3,110.47,1.22,,,,,,
500,152-ER18,152-ER18-SBD50,,113.84,,152.0,113.84,2.48,,,,IER18018O,50.0,55.0,7/19/18,1.26,111.37,1.23,,,,,,
501,153-ER18,153-ER18-SBD50,,105.76,,153.0,105.76,2.88,,,,IER18018Q,50.0,55.0,7/9/18,1.17,102.89,1.14,,,,,,
502,155-ER18,155-ER18-SBD50,,113.11,,155.0,113.11,6.08,,,,IER18018T,50.0,55.0,7/9/18,1.25,107.04,1.18,,,,,,
503,163-ER18,163-ER18-SBD50,,106.11,,163.0,106.11,8.68,,,,IER180192,50.0,55.0,9/25/18,1.17,97.44,1.08,,,,,,
504,173-ER18,173-ER18-SBD50,,128.5,,173.0,128.5,22.28,,,,IER18019D,50.0,55.0,9/24/18,1.42,106.23,1.17,,,,,,
505,176-ER18,176-ER18-SBD50,,128.6,,176.0,128.6,29.28,,,,IER18019H,50.0,55.0,9/24/18,1.42,99.33,1.1,,,,,,
506,180-ER18,180-ER18-SBD50,,132.54,,180.0,132.54,14.48,,,,IER18019M,50.0,55.0,9/24/18,1.46,118.07,1.3,,,,,,
507,182-ER18,182-ER18-SBD50,,95.12,,182.0,95.12,14.88,,,,IER18019P,50.0,55.0,9/24/18,1.05,80.25,0.89,,,,,,
508,190-ER18,190-ER18-SBD50,,118.09,,190.0,118.09,0.0,,,,IER18019Y,50.0,55.0,9/20/18,1.3,118.09,1.3,,,,,,
509,194-ER18,194-ER18-SBD50,,130.14,,194.0,130.14,10.68,,,,IER1801A3,50.0,55.0,9/20/18,1.44,119.47,1.32,,,,,,
510,195-ER18,195-ER18-SBD50,,77.83,,195.0,77.83,0.0,,,,IER1801A5,50.0,55.0,9/20/18,0.86,77.83,0.86,,,,,,
511,196-ER18,196-ER18-SBD50,,137.33,,196.0,137.33,40.28,,,,IER1801A7,50.0,55.0,9/20/18,1.52,97.06,1.07,,,,,,
512,204-ER18,204-ER18-SBD50,,95.53,,204.0,95.53,0.0,,,,IER1801AG,50.0,55.0,9/20/18,1.05,95.53,1.05,,,,,,
513,215-ER18,215-ER18-SBD50,,120.13,,215.0,120.13,0.0,,,,IER1801AS,50.0,55.0,9/20/18,1.33,120.13,1.33,,,,,,
514,223-ER18,223-ER18-SBD50,,144.19,,223.0,144.19,12.08,,,,IER1801B1,50.0,55.0,9/19/18,1.59,132.12,1.46,,,,,,
515,224-ER18,224-ER18-SBD50,,146.91,,224.0,146.91,33.88,,,,IER1801B3,50.0,55.0,9/19/18,1.62,113.04,1.25,,,,,,
516,225-ER18,225-ER18-SBD50,,138.39,,225.0,138.39,17.88,,,,IER1801B5,50.0,55.0,9/19/18,1.53,120.52,1.33,,,,,,
517,226-ER18,226-ER18-SBD50,,134.53,,226.0,134.53,30.48,,,,IER1801B7,50.0,55.0,9/19/18,1.49,104.06,1.15,,,,,,
518,227-ER18,227-ER18-SBD50,,149.11,,227.0,149.11,30.88,,,,IER1801B9,50.0,55.0,9/19/18,1.65,118.24,1.31,,,,,,
519,233-ER18,233-ER18-SBD50,,141.51,,233.0,141.51,31.48,,,,IER1801BH,50.0,55.0,9/19/18,1.56,110.04,1.21,,,,,,
520,229-ER18,229-ER18-SBD50,,145.2,,229.0,145.2,57.68,,,,IER1801BC,50.0,55.0,9/19/18,1.6,87.53,0.97,,,,,,
521,234-ER18,234-ER18-SBD50,,153.63,,234.0,153.63,53.88,,,,IER1801BJ,50.0,55.0,9/19/18,1.7,99.76,1.1,,,,,,
522,235-ER18,235-ER18-SBD50,,147.31,,235.0,147.31,41.88,,,,IER1801BL,50.0,55.0,9/19/18,1.63,105.44,1.16,,,,,,
523,236-ER18,236-ER18-SBD50,,111.92,,236.0,111.92,14.68,,,,IER1801BN,50.0,55.0,9/19/18,1.24,97.25,1.07,,,,,,
524,237-ER18,237-ER18-SBD50,,122.41,,237.0,122.41,24.68,,,,IER1801BP,50.0,55.0,9/19/18,1.35,97.74,1.08,,,,,,
525,238-ER18,238-ER18-SBD50,,124.39,,238.0,124.39,25.68,,,,IER1801BR,50.0,55.0,9/19/18,1.37,98.72,1.09,,,,,,
526,239-ER18,239-ER18-SBD50,,141.58,,239.0,141.58,20.28,,,,IER1801BT,50.0,55.0,9/19/18,1.56,121.31,1.34,,,,,,
527,242-ER18,242-ER18-SBD50,,135.02,,242.0,135.02,28.48,,,,IER1801BX,50.0,55.0,9/19/18,1.49,106.55,1.18,,,,,,
528,246-ER18,246-ER18-SBD50,,125.38,,246.0,125.38,3.48,,,,IER1801C2,50.0,55.0,9/19/18,1.38,121.91,1.35,,,,,,
529,249-ER18,249-ER18-SBD50,,147.22,,249.0,147.22,32.68,,,,IER1801C6,50.0,55.0,9/19/18,1.63,114.55,1.26,,,,,,
530,258-ER18,258-ER18-SBD50,,124.64,,258.0,124.64,25.88,,,,IER1801CG,50.0,55.0,9/19/18,1.38,98.77,1.09,,,,,,
531,259-ER18,259-ER18-SBD50,,134.24,,259.0,134.24,0.0,,,,IER1801CI,50.0,55.0,7/20/18,1.48,134.24,1.48,,,,,,
532,260-ER18,260-ER18-SBD50,,134.37,,260.0,134.37,0.0,,,,IER1801CK,50.0,55.0,7/20/18,1.48,134.37,1.48,,,,,,
533,266-ER18,266-ER18-SBD50,,134.05,,266.0,134.05,25.68,,,,IER1801CQ,50.0,55.0,9/23/18,1.48,108.38,1.2,,,,,,
534,268-ER18,268-ER18-SBD50,,134.67,,268.0,134.67,35.88,,,,IER1801CT,50.0,55.0,9/23/18,1.49,98.8,1.09,,,,,,
535,269-ER18,269-ER18-SBD50,,118.79,,269.0,118.79,8.08,,,,IER1801CV,50.0,55.0,9/17/18,1.31,110.72,1.22,,,,,,
536,270-ER18,270-ER18-SBD50,,115.76,,270.0,115.76,2.48,,,,IER1801CX,50.0,55.0,7/20/18,1.28,113.29,1.25,,,,,,
537,271-ER18,271-ER18-SBD50,,128.59,,271.0,128.59,36.68,,,,IER1801CZ,50.0,55.0,9/17/18,1.42,91.92,1.01,,,,,,
538,272-ER18,272-ER18-SBD50,,122.03,,272.0,122.03,17.08,,,,IER1801D1,50.0,55.0,9/17/18,1.35,104.96,1.16,,,,,,
539,273-ER18,273-ER18-SBD50,,123.72,,273.0,123.72,6.28,,,,IER1801D3,50.0,55.0,9/17/18,1.37,117.45,1.3,,,,,,
540,274-ER18,274-ER18-SBD50,,119.49,,274.0,119.49,13.88,,,,IER1801D5,50.0,55.0,9/17/18,1.32,105.62,1.17,,,,,,
541,277-ER18,277-ER18-SBD50,,104.9,,277.0,104.9,7.08,,,,IER1801DA,50.0,55.0,9/17/18,1.16,97.83,1.08,,,,,,
542,278-ER18,278-ER18-SBD50,,121.48,,278.0,121.48,21.08,,,,IER1801DC,50.0,55.0,9/17/18,1.34,100.41,1.11,,,,,,
543,291-ER18,291-ER18-SBD50,,99.93,,291.0,99.93,4.68,,,,IER1801DU,50.0,55.0,9/17/18,1.1,95.26,1.05,,,,,,
544,280-ER18,280-ER18-SBD50,,125.34,,280.0,125.34,14.08,,,,IER1801DF,50.0,55.0,9/17/18,1.38,111.27,1.23,,,,,,
545,282-ER18,282-ER18-SBD50,,118.26,,282.0,118.26,0.0,,,,IER1801DI,50.0,55.0,9/17/18,1.31,118.26,1.31,,,,,,
546,284-ER18,284-ER18-SBD50,,108.95,,284.0,108.95,29.28,,,,IER1801DL,50.0,55.0,9/23/18,1.2,79.68,0.88,,,,,,
547,290-ER18,290-ER18-SBD50,,124.21,,290.0,124.21,59.48,,,,IER1801DS,50.0,55.0,9/17/18,1.37,64.74,0.71,,,,,,
548,300-ER18,300-ER18-SBD50,,32.25,,300.0,32.25,0.0,,,,IER1801E4,50.0,55.0,9/20/18,0.36,32.25,0.36,,,,,,
549,309-ER18,309-ER18-SBD50,,66.95,,309.0,66.95,0.08,,,,IER1801EC,50.0,55.0,9/23/18,0.74,66.88,0.74,,,,,,
550,310-ER18,310-ER18-SBD50,,80.73,,310.0,80.73,0.0,,,,IER1801EE,50.0,55.0,9/20/18,0.89,80.73,0.89,,,,,,
551,311-ER18,311-ER18-SBD50,,78.33,,311.0,78.33,0.0,,,,IER1801EG,50.0,55.0,9/20/18,0.86,78.33,0.86,,,,,,
552,312-ER18,312-ER18-SBD50,,140.01,,312.0,140.01,63.08,,,,IER1801EI,50.0,55.0,9/23/18,1.55,76.94,0.85,,,,,,
553,314-ER18,314-ER18-SBD50,,83.84,,314.0,83.84,0.0,,,,IER1801EL,50.0,55.0,9/20/18,0.93,83.84,0.93,,,,,,
554,315-ER18,315-ER18-SBD50,,65.69,,315.0,65.69,0.0,,,,IER1801EN,50.0,55.0,9/20/18,0.73,65.69,0.73,,,,,,
555,316-ER18,316-ER18-SBD50,,86.04,,316.0,86.04,0.0,,,,IER1801EP,50.0,55.0,9/23/18,0.95,86.04,0.95,,,,,,
556,317-ER18,317-ER18-SBD50,,91.7,,317.0,91.7,0.0,,,,IER1801ER,50.0,55.0,9/23/18,1.01,91.7,1.01,,,,,,
557,318-ER18,318-ER18-SBD50,,74.22,,318.0,74.22,0.0,,,,IER1801ET,50.0,55.0,9/20/18,0.82,74.22,0.82,,,,,,
558,320-ER18,320-ER18-SBD50,,125.27,,320.0,125.27,39.88,,,,IER1801EW,50.0,55.0,9/21/18,1.38,85.4,0.94,,,,,,
559,322-ER18,322-ER18-SBD50,,120.97,,322.0,120.97,37.68,,,,IER1801EZ,50.0,55.0,9/21/18,1.34,83.3,0.92,,,,,,
560,327-ER18,327-ER18-SBD50,,93.07,,327.0,93.07,21.08,,,,IER1801F5,50.0,55.0,7/11/18,1.03,72.0,0.79,,,,,,
561,329-ER18,329-ER18-SBD50,,105.61,,329.0,105.61,43.08,,,,IER1801F8,50.0,55.0,9/21/18,1.17,62.54,0.69,,,,,,
562,330-ER18,330-ER18-SBD50,,146.83,,330.0,146.83,51.68,,,,IER1801FA,50.0,55.0,9/21/18,1.62,95.16,1.05,,,,,,
563,332-ER18,332-ER18-SBD50,,152.89,,332.0,152.89,64.48,,,,IER1801FD,50.0,55.0,9/21/18,1.69,88.42,0.98,,,,,,
564,334-ER18,334-ER18-SBD50,,124.86,,334.0,124.86,40.88,,,,IER1801FG,50.0,55.0,7/22/18,1.38,83.99,0.93,,,,,,
565,336-ER18,336-ER18-SBD50,,125.83,,336.0,125.83,57.68,,,,IER1801FJ,50.0,55.0,7/22/18,1.39,68.16,0.75,,,,,,
566,337-ER18,337-ER18-SBD50,,117.69,,337.0,117.69,26.88,,,,IER1801FL,50.0,55.0,7/22/18,1.3,90.82,1.0,,,,,,
567,338-ER18,338-ER18-SBD50,,113.77,,338.0,113.77,67.48,,,,IER1801FN,50.0,55.0,7/22/18,1.26,46.3,0.51,,,,,,
568,340-ER18,340-ER18-SBD50,,111.35,,340.0,111.35,28.28,,,,IER1801FQ,50.0,55.0,7/22/18,1.23,83.08,0.92,,,,,,
569,346-ER18,346-ER18-SBD50,,100.93,,346.0,100.93,18.08,,,,IER1801FX,50.0,55.0,7/22/18,1.11,82.86,0.91,,,,,,
570,348-ER18,348-ER18-SBD50,,127.97,,348.0,127.97,42.08,,,,IER1801G0,50.0,55.0,9/21/18,1.41,85.9,0.95,,,,,,
571,356-ER18,356-ER18-SBD50,,127.44,,356.0,127.44,30.88,,,,IER1801G9,50.0,55.0,9/21/18,1.41,96.57,1.07,,,,,,
572,275-ER18,275-ER18-SBD50,,97.59,,275.0,97.59,9.68,,,,IER1801D7,50.0,55.0,9/17/18,1.08,87.92,0.97,,,,,,
573,362-ER18,362-ER18-SBD50,,140.39,,362.0,140.39,42.68,,,,IER1801GG,50.0,55.0,9/21/18,1.55,97.72,1.08,,,,,,
574,363-ER18,363-ER18-SBD50,,115.83,,363.0,115.83,42.28,,,,IER1801GI,50.0,55.0,9/21/18,1.28,73.56,0.81,,,,,,
575,364-ER18,364-ER18-SBD50,,124.79,,364.0,124.79,19.28,,,,IER1801GK,50.0,55.0,7/21/18,1.38,105.52,1.16,,,,,,
576,365-ER18,365-ER18-SBD50,,142.96,,365.0,142.96,36.28,,,,IER1801GM,50.0,55.0,7/21/18,1.58,106.69,1.18,,,,,,
577,373-ER18,373-ER18-SBD50,,36.23,,373.0,36.23,0.0,,,,IER1801GV,50.0,55.0,9/13/18,0.4,36.23,0.4,,,,,,
578,378-ER18,378-ER18-SBD50,,107.57,,378.0,107.57,20.28,,,,IER1801H1,50.0,55.0,9/13/18,1.19,87.3,0.96,,,,,,
579,380-ER18,380-ER18-SBD50,,105.64,,380.0,105.64,9.08,,,,IER1801H4,50.0,55.0,9/13/18,1.17,96.57,1.07,,,,,,
580,393-ER18,393-ER18-SBD50,,104.2,,393.0,104.2,26.28,,,,IER1801HI,50.0,55.0,9/13/18,1.15,77.93,0.86,,,,,,
581,408-ER18,408-ER18-SBD50,,106.03,,408.0,106.03,49.28,,,,IER1801HX,50.0,55.0,9/21/18,1.17,56.76,0.63,,,,,,
582,413-ER18,413-ER18-SBD50,,138.56,,413.0,138.56,103.08,,,,IER1801I3,50.0,55.0,9/21/18,1.53,35.49,0.39,,,,,,
583,426-ER18,426-ER18-SBD50,,147.74,,426.0,147.74,113.68,,,,IER1801IH,50.0,55.0,9/21/18,1.63,34.07,0.38,,,,,,
584,437-ER18,437-ER18-SBD50,,61.19,,437.0,61.19,29.68,,,,IER1801IS,50.0,55.0,9/21/18,0.68,31.52,0.35,,,,,,
585,455-ER18,455-ER18-SBD50,,69.17,,455.0,69.17,0.0,,,,IER1801IU,50.0,55.0,9/23/18,0.76,69.17,0.76,,,,,,
