,SampleSiteCode,SampleID,Soil Wet Weight (g),Soil Dry Weight (g),Lab #,SiteID,"Whole sample wt, g",">2mm portion wt, g",SAND,SILT,CLAY,IGSN,Top sample depth_cm,Bottom sample depth_cm,Collection date,BD_tot g/cm3,"<2mm portion wt, g",BD_2mm g/cm3,BD_wet g/cm3,water content %vol,mineral density g/cm3,sand density g/cm3,silt density g/cm3,clay density g/cm3
338,348-ER18,348-ER18-SBD,123.71,81.78,91924.0,348.0,83.37,23.3,39.8,29.4,30.7,IER1801FZ,2.5,7.5,6/26/18,0.9,58.48,0.65,1.37,46.29,0.83,0.23,0.17,0.18
339,349-ER18,349-ER18-SBD,113.04,101.02,91751.0,349.0,102.11,21.03,43.9,29.3,26.8,IER1801G1,2.5,7.5,6/26/18,1.12,79.99,0.88,1.25,13.27,1.07,0.37,0.25,0.22
340,350-ER18,350-ER18-SBD,105.22,90.48,91925.0,350.0,91.68,26.85,28.4,39.6,32.0,IER1801G2,2.5,7.5,6/26/18,1.0,63.63,0.7,1.16,16.27,0.93,0.18,0.25,0.2
341,351-ER18,351-ER18-SBD,93.1,74.05,91926.0,351.0,75.23,17.16,28.5,46.0,25.5,IER1801G3,2.5,7.5,6/27/18,0.82,56.89,0.63,1.03,21.03,0.76,0.16,0.26,0.15
342,352-ER18,352-ER18-SBD,87.35,70.23,91927.0,352.0,71.42,11.64,36.2,42.1,21.7,IER1801G4,2.5,7.5,6/27/18,0.78,58.59,0.65,0.96,18.9,0.73,0.22,0.25,0.13
343,353-ER18,353-ER18-SBD,59.02,41.09,91928.0,353.0,42.51,1.95,,,,IER1801G5,2.5,7.5,6/27/18,0.45,39.14,0.43,0.65,19.79,0.37,,,
344,354-ER18,354-ER18-SBD,105.79,98.48,91929.0,354.0,99.31,37.61,53.1,27.9,19.0,IER1801G6,2.5,7.5,6/26/18,1.09,60.87,0.67,1.17,8.07,1.06,0.34,0.18,0.12
345,355-ER18,355-ER18-SBD,121.16,112.81,91930.0,355.0,113.92,27.33,55.7,22.8,21.5,IER1801G7,2.5,7.5,6/26/18,1.25,85.48,0.94,1.34,9.22,1.21,0.5,0.21,0.19
346,356-ER18,356-ER18-SBD,136.31,124.85,91752.0,356.0,125.36,24.0,44.1,33.1,22.8,IER1801G8,2.5,7.5,6/26/18,1.38,100.85,1.11,1.5,12.65,1.33,0.47,0.35,0.24
347,357-ER18,357-ER18-SBD,86.29,76.56,91931.0,357.0,77.66,13.69,28.0,41.1,30.8,IER1801GA,2.5,7.5,6/26/18,0.85,62.87,0.69,0.95,10.74,0.77,0.17,0.26,0.19
348,358-ER18,358-ER18-SBD,139.01,128.05,91932.0,358.0,129.59,5.24,35.5,40.5,24.0,IER1801GB,2.5,7.5,6/26/18,1.41,122.81,1.36,1.53,12.1,1.37,0.47,0.53,0.31
349,359-ER18,359-ER18-SBD,87.65,80.69,91933.0,359.0,81.6,24.61,51.7,29.3,19.1,IER1801GC,2.5,7.5,6/26/18,0.89,56.08,0.62,0.97,7.68,0.85,0.3,0.17,0.11
350,360-ER18,360-ER18-SBD,128.99,121.43,91934.0,360.0,122.17,49.31,46.8,30.4,22.8,IER1801GD,2.5,7.5,6/26/18,1.34,72.12,0.8,1.42,8.35,1.31,0.36,0.23,0.17
351,361-ER18,361-ER18-SBD,140.21,126.45,91935.0,361.0,128.28,31.45,48.1,29.1,22.8,IER1801GE,2.5,7.5,6/26/18,1.4,95.0,1.05,1.55,15.19,1.35,0.48,0.29,0.23
352,362-ER18,362-ER18-SBD,112.69,100.85,91936.0,362.0,102.37,43.4,51.6,22.9,25.5,IER1801GF,2.5,7.5,6/26/18,1.11,57.45,0.63,1.24,13.07,1.04,0.29,0.13,0.14
353,363-ER18,363-ER18-SBD,104.19,83.98,91753.0,363.0,85.63,12.3,30.7,37.2,32.1,IER1801GH,2.5,7.5,6/26/18,0.93,71.68,0.79,1.15,22.31,0.87,0.22,0.27,0.23
354,364-ER18,364-ER18-SBD,104.37,94.45,91754.0,364.0,94.75,27.82,38.7,39.6,21.7,IER1801GJ,2.5,7.5,6/27/18,1.04,66.63,0.74,1.15,10.95,1.0,0.27,0.27,0.15
355,365-ER18,365-ER18-SBD,109.42,92.96,91937.0,365.0,93.81,20.66,35.0,42.0,22.9,IER1801GL,2.5,7.5,6/27/18,1.03,72.3,0.8,1.21,18.17,0.98,0.26,0.31,0.17
356,366-ER18,366-ER18-SBD,126.94,113.36,91755.0,366.0,113.62,20.31,44.1,36.9,19.0,IER1801GN,2.5,7.5,6/27/18,1.25,93.05,1.03,1.4,14.99,1.21,0.43,0.36,0.19
357,367-ER18,367-ER18-SBD,131.43,90.91,91938.0,367.0,92.77,25.5,28.3,38.4,33.3,IER1801GO,2.5,7.5,6/27/18,1.0,65.41,0.72,1.45,44.73,0.93,0.18,0.25,0.22
358,368-ER18,368-ER18-SBD,138.47,66.83,91939.0,368.0,67.06,22.24,,,,IER1801GP,2.5,7.5,6/27/18,0.74,44.59,0.49,1.53,79.08,0.72,,,
359,369-ER18,369-ER18-SBD,133.73,113.01,91756.0,369.0,114.72,44.95,45.1,31.9,23.0,IER1801GQ,2.5,7.5,6/27/18,1.25,68.06,0.75,1.48,22.87,1.2,0.32,0.23,0.16
360,370-ER18,370-ER18-SBD,101.29,86.21,91940.0,370.0,87.01,25.76,44.2,38.1,17.8,IER1801GR,2.5,7.5,6/27/18,0.95,60.45,0.67,1.12,16.65,0.92,0.28,0.24,0.11
361,371-ER18,371-ER18-SBD,115.0,100.31,91941.0,371.0,95.05,23.59,42.7,33.1,24.2,IER1801GS,2.5,7.5,6/27/18,1.11,76.72,0.85,1.27,16.22,1.04,0.33,0.26,0.19
362,372-ER18,372-ER18-SBD,109.33,42.23,91942.0,372.0,43.83,0.0,,,,IER1801GT,2.5,7.5,6/27/18,0.47,42.23,0.47,1.21,74.07,0.36,,,
363,373-ER18,373-ER18-SBD,96.14,15.82,91757.0,373.0,16.6,0.84,,,,IER1801GU,2.5,7.5,6/27/18,0.17,14.98,0.17,1.06,88.66,0.11,,,
364,374-ER18,374-ER18-SBD,82.9,67.45,91943.0,374.0,68.64,11.99,31.0,46.0,23.0,IER1801GW,2.5,7.5,6/27/18,0.74,55.46,0.61,0.92,17.05,0.68,0.17,0.25,0.13
365,375-ER18,375-ER18-SBD,130.8,75.36,91758.0,375.0,76.03,13.88,34.6,41.0,24.4,IER1801GX,2.5,7.5,6/27/18,0.83,61.48,0.68,1.44,61.2,0.77,0.21,0.25,0.15
366,376-ER18,376-ER18-SBD,112.49,83.87,91944.0,376.0,85.55,4.43,19.7,52.2,28.0,IER1801GY,2.5,7.5,6/27/18,0.93,79.44,0.88,1.24,31.59,0.86,0.16,0.43,0.23
367,377-ER18,377-ER18-SBD,126.11,79.88,91945.0,377.0,82.08,14.11,24.6,52.4,23.0,IER1801GZ,2.5,7.5,6/27/18,0.88,65.77,0.73,1.39,51.03,0.82,0.16,0.35,0.15
